VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,population
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,9605,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,9940,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,10164,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,10149,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,11033,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,10404,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,6220,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,6762,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,6915,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,7541,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,8152,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,8519,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,8832,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,9251,
